#Sr   Limit       L2/L1   L3/L2   Mem/L3
1	dummy 	3.00		5.33		10.69
1	none 	2.00		7.50		14.27
44	9500 	3.00		4.67		12.21
43	9000 	3.00		5.00		11.47
42	8500 	3.00		4.67		12.29
41	8000 	3.00		4.67		12.29
40	7500 	3.00		4.67		12.29
39	7000 	3.00		5.33		10.75
38	6500 	3.00		5.00		11.47
37	6000 	3.00		5.00		11.47
36	5500 	3.00		5.33		10.75
35	5000 	3.00		5.33		10.75
34	4500 	3.00		5.67		10.06
33	4000 	4.00		4.25		10.06
32	3875 	4.00		4.50		9.56
31	3750 	4.00		4.25		10.06
30	3625 	4.00		4.25		11.29
29	3500 	4.00		4.50		9.50
28	3375 	4.00		4.75		9.00
27	3250 	4.00		4.75		9.05
26	3125 	4.00		4.75		9.05
25	3000 	4.00		5.00		8.60
24	2875 	4.00		4.75		9.05
23	2750 	4.00		4.75		9.00
22	2625 	4.00		5.25		8.14
21	2500 	4.00		5.00		8.55
20	2375 	5.00		4.20		8.19
19	2250 	5.00		4.60		9.78
18	2125 	5.00		4.40		7.82
17	2000 	5.00		4.60		7.48
16	1875 	5.00		4.80		7.21
15	1750 	5.00		5.00		6.92
14	1625 	5.00		5.20		6.69
13	1500 	6.00		4.50		6.48
12	1375 	6.00		4.67		6.25
11	1250 	7.00		4.14		6.07
10	1125 	7.00		4.43		7.16
9	1000 	7.00		4.86		5.12
8	875 	7.00		5.14		4.83
7	750 	4.00		4.75		4.61
6	625 	4.50		4.78		4.12
5	500 	5.50		4.91		4.80
4	375 	6.00		4.67		3.27
3	250 	6.00		4.50		4.74
2	125 	6.00		4.67		3.59
